Año,Localidad,gini,pobreza_monetaria_pct,pobreza_extrema_pct
2003,Antonio Nariño,0.43,,
2003,Barrios Unidos,0.53,,
2003,Bogotá D.C.,0.547,,
2003,Bosa,0.43,,
2003,Chapinero,0.54,,
2003,Ciudad Bolívar,0.4,,
2003,Engativá,0.46,,
2003,Fontibón,0.5,,
2003,Kennedy,0.43,,
2003,La Candelaria,0.56,,
2003,Los Mártires,0.51,,
2003,Puente Aranda,0.4,,
2003,Rafael Uribe Uribe,0.44,,
2003,San Cristóbal,0.43,,
2003,Santa Fe,0.59,,
2003,Suba,0.58,,
2003,Teusaquillo,0.48,,
2003,Tunjuelito,0.44,,
2003,Usaquén,0.57,,
2003,Usme,0.35,,
2011,Antonio Nariño,0.45,13.9,3.79
2011,Barrios Unidos,0.5,9.8,3.92
2011,Bogotá D.C.,0.522,17.3,4.03
2011,Bosa,0.37,25.2,4.8
2011,Chapinero,0.51,5.3,2.48
2011,Ciudad Bolívar,0.38,32.2,5.85
2011,Engativá,0.41,9.1,2.11
2011,Fontibón,0.51,8.8,2.7
2011,Kennedy,0.41,13.3,3.74
2011,La Candelaria,0.59,22.1,8.89
2011,Los Mártires,0.48,19.9,6.37
2011,Puente Aranda,0.42,10.1,3.01
2011,Rafael Uribe Uribe,0.43,27.1,4.94
2011,San Cristóbal,0.4,30.2,6.71
2011,Santa Fe,0.59,22.0,6.23
2011,Suba,0.52,11.6,3.06
2011,Teusaquillo,0.42,3.5,2.48
2011,Tunjuelito,0.42,19.8,3.37
2011,Usaquén,0.54,10.0,3.45
2011,Usme,0.39,34.1,6.52
2014,Antonio Nariño,0.44,8.09,2.1
2014,Barrios Unidos,0.45,8.5,3.35
2014,Bogotá D.C.,0.502,23.3,3.4
2014,Bosa,0.38,20.25,4.4
2014,Chapinero,0.52,9.51,6.35
2014,Ciudad Bolívar,0.4,25.87,5.31
2014,Engativá,0.43,7.64,2.68
2014,Fontibón,0.49,7.38,2.79
2014,Kennedy,0.43,15.05,4.08
2014,La Candelaria,0.53,15.31,5.41
2014,Los Mártires,0.47,13.0,3.88
2014,Puente Aranda,0.43,10.47,4.97
2014,Rafael Uribe Uribe,0.4,15.8,3.21
2014,San Cristóbal,0.4,18.76,3.55
2014,Santa Fe,0.5,20.89,4.38
2014,Suba,0.51,6.92,2.06
2014,Teusaquillo,0.45,4.3,3.24
2014,Tunjuelito,0.42,13.02,2.11
2014,Usaquén,0.49,8.54,3.34
2014,Usme,0.38,24.6,4.77
2017,Antonio Nariño,0.41,7.26,2.33
2017,Barrios Unidos,0.48,7.17,2.96
2017,Bogotá D.C.,0.498,28.4,4.2
2017,Bosa,0.41,21.24,4.95
2017,Chapinero,0.51,6.29,3.61
2017,Ciudad Bolívar,0.41,25.94,6.87
2017,Engativá,0.44,8.03,2.6
2017,Fontibón,0.51,8.46,3.41
2017,Kennedy,0.46,15.29,4.06
2017,La Candelaria,0.57,15.13,8.25
2017,Los Mártires,0.46,10.46,4.13
2017,Puente Aranda,0.42,10.27,3.89
2017,Rafael Uribe Uribe,0.43,17.87,4.21
2017,San Cristóbal,0.43,20.39,5.72
2017,Santa Fe,0.63,23.15,8.04
2017,Suba,0.54,10.1,3.01
2017,Teusaquillo,0.43,3.06,2.2
2017,Tunjuelito,0.48,22.76,10.62
2017,Usaquén,0.53,6.92,3.06
2017,Usme,0.44,33.85,12.08
2021,Antonio Nariño,0.46,23.94,6.9
2021,Barrios Unidos,0.49,20.35,7.8
2021,Bogotá D.C.,0.528,35.8,9.4
2021,Bosa,0.46,53.18,19.2
2021,Chapinero,0.52,12.83,6.2
2021,Ciudad Bolívar,0.47,57.37,21.7
2021,Engativá,0.47,24.93,9.0
2021,Fontibón,0.49,19.83,5.3
2021,Kennedy,0.5,37.02,13.1
2021,La Candelaria,0.6,34.53,15.9
2021,Los Mártires,0.51,38.48,15.5
2021,Puente Aranda,0.47,25.53,11.2
2021,Rafael Uribe Uribe,0.5,49.95,18.6
2021,San Cristóbal,0.45,48.45,16.2
2021,Santa Fe,0.65,47.69,21.8
2021,Suba,0.56,25.82,8.2
2021,Sumapaz,0.5,38.67,23.6
2021,Teusaquillo,0.42,7.9,5.3
2021,Tunjuelito,0.48,40.19,17.3
2021,Usaquén,0.54,15.96,5.5
2021,Usme,0.43,57.81,17.9
